epoch: 10, NDCG: 0.2684402530659829,  HR: 0.49205298013245036,  loss: 0.9913315176963806
epoch: 20, NDCG: 0.36651822995932143,  HR: 0.6216887417218543,  loss: 0.8264343738555908
epoch: 30, NDCG: 0.4052120482978013,  HR: 0.6743377483443709,  loss: 0.7054692506790161
epoch: 40, NDCG: 0.4233152971346269,  HR: 0.6892384105960265,  loss: 0.7591995000839233
epoch: 50, NDCG: 0.4442346772128134,  HR: 0.7124172185430464,  loss: 0.6811316013336182
epoch: 60, NDCG: 0.46534849824164626,  HR: 0.733112582781457,  loss: 0.6335694193840027
epoch: 70, NDCG: 0.4714707226111324,  HR: 0.7382450331125828,  loss: 0.6337952613830566
epoch: 80, NDCG: 0.4862331352433349,  HR: 0.7468543046357616,  loss: 0.6260261535644531
epoch: 90, NDCG: 0.4968104893084823,  HR: 0.7579470198675496,  loss: 0.603286862373352
epoch: 100, NDCG: 0.5022145103554473,  HR: 0.7612582781456954,  loss: 0.5576542615890503
epoch: 110, NDCG: 0.5099974310949732,  HR: 0.7677152317880794,  loss: 0.579864501953125
epoch: 120, NDCG: 0.5122195804940171,  HR: 0.7672185430463576,  loss: 0.6278203725814819
epoch: 130, NDCG: 0.5149163207405422,  HR: 0.7701986754966887,  loss: 0.5516247153282166
epoch: 140, NDCG: 0.5186978975873101,  HR: 0.7733443708609271,  loss: 0.5631078481674194
epoch: 150, NDCG: 0.5217173719575179,  HR: 0.7710264900662251,  loss: 0.5600345134735107
epoch: 160, NDCG: 0.5253744912091761,  HR: 0.7771523178807948,  loss: 0.6101648211479187
epoch: 170, NDCG: 0.5231541561504622,  HR: 0.7763245033112582,  loss: 0.5379080772399902
epoch: 180, NDCG: 0.5262994616196531,  HR: 0.7789735099337748,  loss: 0.58549964427948
epoch: 190, NDCG: 0.5318029045010582,  HR: 0.7778145695364238,  loss: 0.583781361579895
epoch: 200, NDCG: 0.5296751983216618,  HR: 0.7793046357615894,  loss: 0.4950476884841919
